web-scraper-order,web-scraper-start-url,user,date,score,review
"1651048964-11","https://www.tiket.com/hotel/singapore/shangrila-rasa-sentosa-singapore-sg-clean-504001650583233294?checkin=2022-04-27&checkout=2022-04-28&room=1&adult=1&soldOut=","EDWARD EDWARD","05 Jun 2019 - Trip Keluarga","5.0/5","Ini baru hotel yg pas u liburan, suasana sgt asri dan nyaman, kebersihan sgt bagus , lokasi d sentosa dkt wahana bermain dan mall besar"
"1651048964-9","https://www.tiket.com/hotel/singapore/shangrila-rasa-sentosa-singapore-sg-clean-504001650583233294?checkin=2022-04-27&checkout=2022-04-28&room=1&adult=1&soldOut=","LL","03 Des 2019 - Trip Keluarga","3.6/5","Secara keseluruhan ok, lokasi saja agk lumayan jauh ke dlm."
"1651048964-10","https://www.tiket.com/hotel/singapore/shangrila-rasa-sentosa-singapore-sg-clean-504001650583233294?checkin=2022-04-27&checkout=2022-04-28&room=1&adult=1&soldOut=","NK","19 Nov 2019 - Trip Keluarga","5.0/5","Like everything about the hotel"
