web-scraper-order,web-scraper-start-url,user,date,score,review
1651048831-7,https://www.tiket.com/hotel/singapore/resorts-world-sentosa-festive-hotel-412001639747857016?checkin=2022-04-27&checkout=2022-04-28&room=1&adult=1&soldOut=,SA,16 Jul 2019 - Trip Keluarga,4.6/5,The room is big enough for family stay 👍🏻but the breakfast and the people not so good😒
1651048831-1,https://www.tiket.com/hotel/singapore/resorts-world-sentosa-festive-hotel-412001639747857016?checkin=2022-04-27&checkout=2022-04-28&room=1&adult=1&soldOut=,GM,28 Jan 2020 - Trip Keluarga,4.8/5,Jarak hotel dg uss sea dkk hanya selangkah.. klo  tukuan utk liburan d pulu sentosa sangat disrnkan nginap di sini. Sekitar hotel banyak resto yg buka utk sarapan pagi sampai makan malam. Kamar hotel bukan yg baru amat tapi ok. Sy nginap d lmr family. Ada tempt tdr anak plus sofa bed. Kebersihan ok.air bisa refil gratis. Jd wktu klr jj bisa sangu air 😊
1651048831-6,https://www.tiket.com/hotel/singapore/resorts-world-sentosa-festive-hotel-412001639747857016?checkin=2022-04-27&checkout=2022-04-28&room=1&adult=1&soldOut=,RW,28 Sep 2019 - Trip Keluarga,4.0/5,"Sy pertama diks room di ground flr, begitu msk room! Sy kaget luar biasa,, karna spt bau gas! Lsg sy ke reception utk dipindahkan ke room lain, akhirnya sy dpt room di lantai 4,, tp jalannya sangat jauh dg lift!!"
1651048831-2,https://www.tiket.com/hotel/singapore/resorts-world-sentosa-festive-hotel-412001639747857016?checkin=2022-04-27&checkout=2022-04-28&room=1&adult=1&soldOut=,AL,14 Des 2019 - Trip Pasangan,4.6/5,The hotel staff is very helpful and kind. Location near Universal Studio.
1651048831-5,https://www.tiket.com/hotel/singapore/resorts-world-sentosa-festive-hotel-412001639747857016?checkin=2022-04-27&checkout=2022-04-28&room=1&adult=1&soldOut=,RP,05 Okt 2019 - Trip Solo,4.0/5,kamar nya bersih
1651048831-3,https://www.tiket.com/hotel/singapore/resorts-world-sentosa-festive-hotel-412001639747857016?checkin=2022-04-27&checkout=2022-04-28&room=1&adult=1&soldOut=,GA,29 Nov 2019 - Trip Pasangan,2.8/5,"Bangunan uda tua, pintu kamar gak bisa dikunci, toilet tdk ada semprotan air"
1651048831-4,https://www.tiket.com/hotel/singapore/resorts-world-sentosa-festive-hotel-412001639747857016?checkin=2022-04-27&checkout=2022-04-28&room=1&adult=1&soldOut=,David Sutiono,16 Nov 2019 - Trip Keluarga,4.8/5,we love it. we stayed 3 days for 4 rooms. it was great .cleaness was great
1651048831-8,https://www.tiket.com/hotel/singapore/resorts-world-sentosa-festive-hotel-412001639747857016?checkin=2022-04-27&checkout=2022-04-28&room=1&adult=1&soldOut=,Edward Tanoto,21 Apr 2019 - Trip Keluarga,2.4/5,"The check in staff and check out staff were not too friendly. Not smiling.
Location is nice, near universal studio, food, and sea world. 
Nothing exceed my expectation."
