web-scraper-order,web-scraper-start-url,user,language,date,score,review
1651049240-13,https://www.tiket.com/hotel/singapore/siloso-beach-resort-sentosa-504001650569943221?checkin=2022-04-27&checkout=2022-04-28&room=1&adult=1&soldOut=,ED,English,29 Jul 2019 - Trip Keluarga,5.0/5,"The hotel near many attractions in Sentosa Island. Offers reasonable price with spacious room, nice pool for kids, and good breakfast. The staffs were nice and polite. Reccomended hotel in Sentosa Island."
1651049240-16,https://www.tiket.com/hotel/singapore/siloso-beach-resort-sentosa-504001650569943221?checkin=2022-04-27&checkout=2022-04-28&room=1&adult=1&soldOut=,DD,Indonesian,25 Nov 2018 - Trip Keluarga,4.4/5,"Sangat go green dan lingkungan sehat,dan kolam renangnya membuat anak2 sangat suka berenang,pelayanan ok tp perlu diperbaiki sedikit saat shift siang kemalam yg jaga malam sdikit susah senyum.tp ok"
1651049240-15,https://www.tiket.com/hotel/singapore/siloso-beach-resort-sentosa-504001650569943221?checkin=2022-04-27&checkout=2022-04-28&room=1&adult=1&soldOut=,hendra san,English,16 Jan 2019 - Trip Keluarga,3.2/5,Good hotel with nature ambience. Swimming was good too. Food ok.
1651049240-14,https://www.tiket.com/hotel/singapore/siloso-beach-resort-sentosa-504001650569943221?checkin=2022-04-27&checkout=2022-04-28&room=1&adult=1&soldOut=,Febe supangat,Indonesian,04 Apr 2019 - Trip Keluarga,3.2/5,menarik dan kolam renangnya ok.. cuma lebih kotor di area dalam pinggir kolam
1651049240-12,https://www.tiket.com/hotel/singapore/siloso-beach-resort-sentosa-504001650569943221?checkin=2022-04-27&checkout=2022-04-28&room=1&adult=1&soldOut=,AS,Indonesian,11 Sep 2019 - Trip Keluarga,4.0/5,Jika membawa orang tua. Tidak disarankan menginap disini. Karena lokasi nya jauh ke universal studio... dan menunggu tram nya lamaa... hotelnya bagus. Hanya tanamannya tidak terawat baik. Serta makanan breakfastnya kurang bervariasi menunya.
