2016-06,HendsThe,"untuk 1 permainan bisa antri 40 sd 90 menit dan lokasi jauh lebih sempit ketimbang kidzania jakarta, harga jauh lebih mahal. Permainan menjadi pilot atau crew bagus karena pakai pesawat original. Untuk yang lain biasa saja"
2016-03,JalanJalanBerdua,"Datang ke Kidzania bukan karena saya ingin bermain di sini ya, tapi hanya karena pensaran di Medan saya tidak pernah menemukannya. Karena franchise-nya di Indonesia baru ada di Jakarta sedangkan jarak dari Medan ke Singapura lebih dekat daripada harus ke Jakarta. Tempatnya keren, jadi membayangkan bisa kembali ke masa kecil, sayangnya saat saya kecil belum ada inovasi dunia Kidzania seperti ini.."
