web-scraper-order,web-scraper-start-url,pagination,user,date,review
1650529873-399,https://www.traveloka.com/id-id/hotel/singapore/capella-singapore-sg-clean-128838?spec=22-04-2022.23-04-2022.1.1.HOTEL.128838.Capella%20Singapore%20(SG%20Clean).2,,DINA,11-Mar-20,"Kamar yang sangat bersih, kamar sesuai dengan foto, viewnya oke, next mau menginap lagi disini."
1650529873-400,https://www.traveloka.com/id-id/hotel/singapore/capella-singapore-sg-clean-128838?spec=22-04-2022.23-04-2022.1.1.HOTEL.128838.Capella%20Singapore%20(SG%20Clean).2,,lily b.,28-Dec-15,"Besar kamar tidur, kamar mandi yang baik, pemandangan dari kamar"
