web-scraper-order,web-scraper-start-url,pagination,user,date,review
1650528371-211,https://www.traveloka.com/id-id/hotel/singapore/siloso-beach-resort-sentosa-98946?spec=22-04-2022.23-04-2022.1.1.HOTEL.98946.Siloso%20Beach%20Resort%2C%20Sentosa.2&prevSearchId=1730699409382996331&loginPromo=1&contexts=%7B%22inventoryRateKey%22%3A%22povEwB3ZzsU2C6pd%2B6MdU13LUNuufACdbU0usK5vg0dM0tKsNUio4Rxug1zOzHJilcvZa8YdqqIySdppe7dolTIewZlxfjiOGz6oXLTucMvN0%2BgQ3yZPvZcoHwUFNN%2BZpcr%2F%2FNa8o9ElfN8zOYhzzZeg0X586laFpeUViPi9rxCbZk0j1EJOYrg0FVtYsvuXIvEWeildVo7nbHxIWcXPVNGysXwP9P%2F6jQTjnyKeTv%2ByqYmxSenRKFEfSHS0XO3ksOocFaHL1Wb9vQXntcm%2BDw%3D%3D%22%7D,,Chevy L.,2-Mar-22,We been staying here for 3 nights and the food here is nice but the pool closed at 7pm. A bit disappointed but overall was OK
1650528371-212,https://www.traveloka.com/id-id/hotel/singapore/siloso-beach-resort-sentosa-98946?spec=22-04-2022.23-04-2022.1.1.HOTEL.98946.Siloso%20Beach%20Resort%2C%20Sentosa.2&prevSearchId=1730699409382996331&loginPromo=1&contexts=%7B%22inventoryRateKey%22%3A%22povEwB3ZzsU2C6pd%2B6MdU13LUNuufACdbU0usK5vg0dM0tKsNUio4Rxug1zOzHJilcvZa8YdqqIySdppe7dolTIewZlxfjiOGz6oXLTucMvN0%2BgQ3yZPvZcoHwUFNN%2BZpcr%2F%2FNa8o9ElfN8zOYhzzZeg0X586laFpeUViPi9rxCbZk0j1EJOYrg0FVtYsvuXIvEWeildVo7nbHxIWcXPVNGysXwP9P%2F6jQTjnyKeTv%2ByqYmxSenRKFEfSHS0XO3ksOocFaHL1Wb9vQXntcm%2BDw%3D%3D%22%7D,,sherlyn,2-Mar-22,"Room size was OK, toilet a little small but not as issue! However, we found small spots of bloodstains on our duvet. Other than that, room service and staff were nice and friendly. A little sad we didn't get to visit/explore the pool etc tho so can't make a comment about that. Overall, still satisfied-ish w our stay."
1650528371-213,https://www.traveloka.com/id-id/hotel/singapore/siloso-beach-resort-sentosa-98946?spec=22-04-2022.23-04-2022.1.1.HOTEL.98946.Siloso%20Beach%20Resort%2C%20Sentosa.2&prevSearchId=1730699409382996331&loginPromo=1&contexts=%7B%22inventoryRateKey%22%3A%22povEwB3ZzsU2C6pd%2B6MdU13LUNuufACdbU0usK5vg0dM0tKsNUio4Rxug1zOzHJilcvZa8YdqqIySdppe7dolTIewZlxfjiOGz6oXLTucMvN0%2BgQ3yZPvZcoHwUFNN%2BZpcr%2F%2FNa8o9ElfN8zOYhzzZeg0X586laFpeUViPi9rxCbZk0j1EJOYrg0FVtYsvuXIvEWeildVo7nbHxIWcXPVNGysXwP9P%2F6jQTjnyKeTv%2ByqYmxSenRKFEfSHS0XO3ksOocFaHL1Wb9vQXntcm%2BDw%3D%3D%22%7D,,Ain J.,1-Mar-22,We had so much fun staying there. Awesome!
1650528371-214,https://www.traveloka.com/id-id/hotel/singapore/siloso-beach-resort-sentosa-98946?spec=22-04-2022.23-04-2022.1.1.HOTEL.98946.Siloso%20Beach%20Resort%2C%20Sentosa.2&prevSearchId=1730699409382996331&loginPromo=1&contexts=%7B%22inventoryRateKey%22%3A%22povEwB3ZzsU2C6pd%2B6MdU13LUNuufACdbU0usK5vg0dM0tKsNUio4Rxug1zOzHJilcvZa8YdqqIySdppe7dolTIewZlxfjiOGz6oXLTucMvN0%2BgQ3yZPvZcoHwUFNN%2BZpcr%2F%2FNa8o9ElfN8zOYhzzZeg0X586laFpeUViPi9rxCbZk0j1EJOYrg0FVtYsvuXIvEWeildVo7nbHxIWcXPVNGysXwP9P%2F6jQTjnyKeTv%2ByqYmxSenRKFEfSHS0XO3ksOocFaHL1Wb9vQXntcm%2BDw%3D%3D%22%7D,,Eddie L.,21-Feb-22,Hot water not working in the showers but only for tap at basin. Temostat at aircon not working and room was freezing even after aircon was switched off for the whole night.
1650528371-215,https://www.traveloka.com/id-id/hotel/singapore/siloso-beach-resort-sentosa-98946?spec=22-04-2022.23-04-2022.1.1.HOTEL.98946.Siloso%20Beach%20Resort%2C%20Sentosa.2&prevSearchId=1730699409382996331&loginPromo=1&contexts=%7B%22inventoryRateKey%22%3A%22povEwB3ZzsU2C6pd%2B6MdU13LUNuufACdbU0usK5vg0dM0tKsNUio4Rxug1zOzHJilcvZa8YdqqIySdppe7dolTIewZlxfjiOGz6oXLTucMvN0%2BgQ3yZPvZcoHwUFNN%2BZpcr%2F%2FNa8o9ElfN8zOYhzzZeg0X586laFpeUViPi9rxCbZk0j1EJOYrg0FVtYsvuXIvEWeildVo7nbHxIWcXPVNGysXwP9P%2F6jQTjnyKeTv%2ByqYmxSenRKFEfSHS0XO3ksOocFaHL1Wb9vQXntcm%2BDw%3D%3D%22%7D,,Anna C. P. K.,18-Feb-22,Check in was smooth. Requested for middle range floor and can see the beach (which we did had tat room last time we stayed) but then staff said all view block by trees. We know view were all blocked but not all rooms are totally blocked. Sad we can't get the one like previous time we stayed. Whenever we look out only trees. Ask check in counter staff is there breakfast & staff mentioned yes a Semi Buffet Breakfast for $20+ each pax & we tot since it's a semi buffet price is average so we paid for breakfast next morning & when ordered the restaurant staff said can only order one per pax and only once. So I'm confused what's all about the Semi Buffet that the check in staff mentioned to us? Should have just said it Ala Crate! Regarding the breakfast info given we're actually quite upset. Cleanliness was average & acceptable. Nice long pool with slide & next time gonna bring the kids. Try to grab for lunch but no driver wanna take our orders. Ended up we takeaway some snacks & bites from Bikini Bar. Pumped shower gel provided is better than those bottles one given. TV channels was great and we enjoyed our time watching lots of oldies movies. First time requested ice in a bag to chill our wine is free but subsequent will be chargeable. Fridge very small but it's alright for us. Bed & pillow super comfortable & we had a great sleep waking up the next morning refreshed.
1650528371-216,https://www.traveloka.com/id-id/hotel/singapore/siloso-beach-resort-sentosa-98946?spec=22-04-2022.23-04-2022.1.1.HOTEL.98946.Siloso%20Beach%20Resort%2C%20Sentosa.2&prevSearchId=1730699409382996331&loginPromo=1&contexts=%7B%22inventoryRateKey%22%3A%22povEwB3ZzsU2C6pd%2B6MdU13LUNuufACdbU0usK5vg0dM0tKsNUio4Rxug1zOzHJilcvZa8YdqqIySdppe7dolTIewZlxfjiOGz6oXLTucMvN0%2BgQ3yZPvZcoHwUFNN%2BZpcr%2F%2FNa8o9ElfN8zOYhzzZeg0X586laFpeUViPi9rxCbZk0j1EJOYrg0FVtYsvuXIvEWeildVo7nbHxIWcXPVNGysXwP9P%2F6jQTjnyKeTv%2ByqYmxSenRKFEfSHS0XO3ksOocFaHL1Wb9vQXntcm%2BDw%3D%3D%22%7D,,Janet H.,17-Feb-22,My second time staying at this hotel. Like the superb location and the theme of ECO friendly creation by the hotel.
1650528371-217,https://www.traveloka.com/id-id/hotel/singapore/siloso-beach-resort-sentosa-98946?spec=22-04-2022.23-04-2022.1.1.HOTEL.98946.Siloso%20Beach%20Resort%2C%20Sentosa.2&prevSearchId=1730699409382996331&loginPromo=1&contexts=%7B%22inventoryRateKey%22%3A%22povEwB3ZzsU2C6pd%2B6MdU13LUNuufACdbU0usK5vg0dM0tKsNUio4Rxug1zOzHJilcvZa8YdqqIySdppe7dolTIewZlxfjiOGz6oXLTucMvN0%2BgQ3yZPvZcoHwUFNN%2BZpcr%2F%2FNa8o9ElfN8zOYhzzZeg0X586laFpeUViPi9rxCbZk0j1EJOYrg0FVtYsvuXIvEWeildVo7nbHxIWcXPVNGysXwP9P%2F6jQTjnyKeTv%2ByqYmxSenRKFEfSHS0XO3ksOocFaHL1Wb9vQXntcm%2BDw%3D%3D%22%7D,,Xy Xy,7-Feb-22,Had a great stay. Location is superb. Very near the beach. The pool was great! Staff was very helpful. The cafe/restaurant was not to be missed out.
1650528371-218,https://www.traveloka.com/id-id/hotel/singapore/siloso-beach-resort-sentosa-98946?spec=22-04-2022.23-04-2022.1.1.HOTEL.98946.Siloso%20Beach%20Resort%2C%20Sentosa.2&prevSearchId=1730699409382996331&loginPromo=1&contexts=%7B%22inventoryRateKey%22%3A%22povEwB3ZzsU2C6pd%2B6MdU13LUNuufACdbU0usK5vg0dM0tKsNUio4Rxug1zOzHJilcvZa8YdqqIySdppe7dolTIewZlxfjiOGz6oXLTucMvN0%2BgQ3yZPvZcoHwUFNN%2BZpcr%2F%2FNa8o9ElfN8zOYhzzZeg0X586laFpeUViPi9rxCbZk0j1EJOYrg0FVtYsvuXIvEWeildVo7nbHxIWcXPVNGysXwP9P%2F6jQTjnyKeTv%2ByqYmxSenRKFEfSHS0XO3ksOocFaHL1Wb9vQXntcm%2BDw%3D%3D%22%7D,,haz h.,28-Jan-22,Highly recommend for those who love pools and nature such a blissful memory celebration 33rd birthday of my wife here! Great service and clean. Most worth it was the long pool surrounded by nature!
1650528371-219,https://www.traveloka.com/id-id/hotel/singapore/siloso-beach-resort-sentosa-98946?spec=22-04-2022.23-04-2022.1.1.HOTEL.98946.Siloso%20Beach%20Resort%2C%20Sentosa.2&prevSearchId=1730699409382996331&loginPromo=1&contexts=%7B%22inventoryRateKey%22%3A%22povEwB3ZzsU2C6pd%2B6MdU13LUNuufACdbU0usK5vg0dM0tKsNUio4Rxug1zOzHJilcvZa8YdqqIySdppe7dolTIewZlxfjiOGz6oXLTucMvN0%2BgQ3yZPvZcoHwUFNN%2BZpcr%2F%2FNa8o9ElfN8zOYhzzZeg0X586laFpeUViPi9rxCbZk0j1EJOYrg0FVtYsvuXIvEWeildVo7nbHxIWcXPVNGysXwP9P%2F6jQTjnyKeTv%2ByqYmxSenRKFEfSHS0XO3ksOocFaHL1Wb9vQXntcm%2BDw%3D%3D%22%7D,,Gobind S.,27-Jan-22,Great location and close to a lot of activities. Huge swimming pool. Super friendly staff too. Facilities are a bit outdated though.
1650528371-220,https://www.traveloka.com/id-id/hotel/singapore/siloso-beach-resort-sentosa-98946?spec=22-04-2022.23-04-2022.1.1.HOTEL.98946.Siloso%20Beach%20Resort%2C%20Sentosa.2&prevSearchId=1730699409382996331&loginPromo=1&contexts=%7B%22inventoryRateKey%22%3A%22povEwB3ZzsU2C6pd%2B6MdU13LUNuufACdbU0usK5vg0dM0tKsNUio4Rxug1zOzHJilcvZa8YdqqIySdppe7dolTIewZlxfjiOGz6oXLTucMvN0%2BgQ3yZPvZcoHwUFNN%2BZpcr%2F%2FNa8o9ElfN8zOYhzzZeg0X586laFpeUViPi9rxCbZk0j1EJOYrg0FVtYsvuXIvEWeildVo7nbHxIWcXPVNGysXwP9P%2F6jQTjnyKeTv%2ByqYmxSenRKFEfSHS0XO3ksOocFaHL1Wb9vQXntcm%2BDw%3D%3D%22%7D,,Cheong Y. K.,21-Jan-22,"Everything is good except for one thing 😅 as now is not peak season, I have requested check out one hour late and request was granted. The room looks find except for the bed. Some blood satin can still be clearly seen and I actually hesitate to sleep on it. I lazy to change and to avoid troubel, I have used up my whole alcohol spray. Hope they can look into this issue as I can see other similar comment too."
